Grade,AUN,Schl,County,District Name,School Name,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
11,103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Literature,Historically Underperforming,135,0.7,34.1,38.5,26.7
11,103026037,000006672,Allegheny,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Algebra I,All Students,6,,,,
11,103026037,000006672,Allegheny,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Algebra I,Historically Underperforming,4,,,,
11,103026037,000006672,Allegheny,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Biology,All Students,6,,,,
11,103026037,000006672,Allegheny,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Biology,Historically Underperforming,4,,,,
11,103026037,000006672,Allegheny,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Literature,All Students,6,,,,
11,103026037,000006672,Allegheny,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Literature,Historically Underperforming,4,,,,
11,103026303,000005017,Allegheny,MONTOUR SD,MONTOUR HS,Algebra I,All Students,237,24.5,48.5,20.7,6.3
11,103026303,000005017,Allegheny,MONTOUR SD,MONTOUR HS,Algebra I,Historically Underperforming,79,13.9,36.7,31.6,17.7
11,103026303,000005017,Allegheny,MONTOUR SD,MONTOUR HS,Biology,All Students,238,29.8,38.7,23.1,8.4
11,103026303,000005017,Allegheny,MONTOUR SD,MONTOUR HS,Biology,Historically Underperforming,81,16.0,27.2,42.0,14.8
11,103026303,000005017,Allegheny,MONTOUR SD,MONTOUR HS,Literature,All Students,240,15.8,70.8,10.0,3.3
11,103026303,000005017,Allegheny,MONTOUR SD,MONTOUR HS,Literature,Historically Underperforming,82,11.0,59.8,20.7,8.5
11,103026343,000004951,Allegheny,MOON AREA SD,MOON SHS,Algebra I,All Students,267,30.7,52.1,14.2,3.0
11,103026343,000004951,Allegheny,MOON AREA SD,MOON SHS,Algebra I,Historically Underperforming,61,13.1,37.7,36.1,13.1
11,103026343,000004951,Allegheny,MOON AREA SD,MOON SHS,Biology,All Students,265,45.7,37.7,10.2,6.4
11,103026343,000004951,Allegheny,MOON AREA SD,MOON SHS,Biology,Historically Underperforming,60,18.3,41.7,13.3,26.7
11,103026343,000004951,Allegheny,MOON AREA SD,MOON SHS,Literature,All Students,266,23.3,65.8,7.1,3.8
11,103026343,000004951,Allegheny,MOON AREA SD,MOON SHS,Literature,Historically Underperforming,61,6.6,55.7,21.3,16.4
11,103026402,000000254,Allegheny,MT LEBANON SD,MT LEBANON SHS,Algebra I,All Students,422,45.7,44.5,8.8,0.9
11,103026402,000000254,Allegheny,MT LEBANON SD,MT LEBANON SHS,Algebra I,Historically Underperforming,95,22.1,44.2,29.5,4.2
11,103026402,000000254,Allegheny,MT LEBANON SD,MT LEBANON SHS,Biology,All Students,418,52.9,37.1,6.9,3.1
11,103026402,000000254,Allegheny,MT LEBANON SD,MT LEBANON SHS,Biology,Historically Underperforming,94,27.7,39.4,22.3,10.6
11,103026402,000000254,Allegheny,MT LEBANON SD,MT LEBANON SHS,Literature,All Students,421,32.5,61.0,5.2,1.2
11,103026402,000000254,Allegheny,MT LEBANON SD,MT LEBANON SHS,Literature,Historically Underperforming,94,12.8,64.9,18.1,4.3
11,103026852,000008305,Allegheny,NORTH ALLEGHENY SD,NORTH ALLEGHENY HS,Algebra I,All Students,639,47.7,37.9,11.6,2.8
