AUN,Schl,County,District Name,School Name,Subject,Group,Grade,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Biology,ELL,11,1,,,,
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Biology,IEP,11,7,,,,
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Literature,All Students,11,30,3.3,40.0,30.0,26.7
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Literature,Economically Disadvantaged,11,18,0.0,44.4,33.3,22.2
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Literature,ELL,11,1,,,,
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Literature,IEP,11,8,,,,
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Algebra I,All Students,11,76,42.1,26.3,23.7,7.9
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Algebra I,Economically Disadvantaged,11,18,11.1,22.2,61.1,5.6
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Algebra I,IEP,11,12,16.7,8.3,50.0,25.0
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Biology,All Students,11,3,,,,
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Biology,Economically Disadvantaged,11,2,,,,
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Literature,All Students,11,126,15.9,69.8,13.5,0.8
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Literature,Economically Disadvantaged,11,33,3.0,75.8,21.2,0.0
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Literature,IEP,11,15,6.7,66.7,20.0,6.7
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,All Students,11,73,8.2,11.0,35.6,45.2
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,Economically Disadvantaged,11,36,8.3,8.3,27.8,55.6
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,IEP,11,12,0.0,0.0,25.0,75.0
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,All Students,11,62,1.6,9.7,35.5,53.2
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,Economically Disadvantaged,11,38,2.6,13.2,28.9,55.3
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,IEP,11,13,0.0,0.0,7.7,92.3
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,All Students,11,92,7.6,37.0,32.6,22.8
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,Economically Disadvantaged,11,44,4.5,27.3,36.4,31.8
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,IEP,11,15,6.7,13.3,13.3,66.7
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Algebra I,All Students,11,88,26.1,61.4,11.4,1.1
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Algebra I,Economically Disadvantaged,11,17,11.8,58.8,23.5,5.9
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Algebra I,IEP,11,3,,,,
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Biology,All Students,11,7,,,,
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Biology,Economically Disadvantaged,11,2,,,,
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Biology,IEP,11,1,,,,
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Literature,All Students,11,171,5.8,71.9,17.5,4.7
