Schl,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
6928,Algebra I,All Students,84,20.2,59.5,17.9,2.4
6928,Algebra I,Historically Underperforming,29,6.9,58.6,27.6,6.9
6928,Biology,All Students,83,26.5,45.8,26.5,1.2
6928,Biology,Historically Underperforming,28,10.7,46.4,39.3,3.6
6928,Literature,All Students,85,20.0,69.4,9.4,1.2
6928,Literature,Historically Underperforming,31,12.9,61.3,22.6,3.2
0460,Algebra I,All Students,317,11.7,55.8,26.5,6.0
0460,Algebra I,Historically Underperforming,109,8.3,40.4,34.9,16.5
0460,Biology,All Students,317,32.8,35.3,21.8,10.1
0460,Biology,Historically Underperforming,111,21.6,27.0,29.7,21.6
0460,Literature,All Students,313,19.5,59.1,16.3,5.1
0460,Literature,Historically Underperforming,106,9.4,48.1,29.2,13.2
0440,Algebra I,All Students,89,4.5,46.1,42.7,6.7
0440,Algebra I,Historically Underperforming,48,4.2,35.4,52.1,8.3
0440,Biology,All Students,90,13.3,33.3,36.7,16.7
0440,Biology,Historically Underperforming,49,10.2,20.4,44.9,24.5
0440,Literature,All Students,90,2.2,63.3,27.8,6.7
0440,Literature,Historically Underperforming,49,0.0,57.1,30.6,12.2
0470,Algebra I,All Students,213,49.3,39.4,9.4,1.9
0470,Algebra I,Historically Underperforming,28,21.4,35.7,28.6,14.3
0470,Biology,All Students,214,32.2,58.9,8.4,0.5
0470,Biology,Historically Underperforming,28,14.3,50.0,32.1,3.6
0470,Literature,All Students,214,24.8,68.7,5.6,0.9
0470,Literature,Historically Underperforming,28,17.9,50.0,25.0,7.1
0467,Algebra I,All Students,148,46.6,37.2,14.2,2.0
0467,Algebra I,Historically Underperforming,45,28.9,37.8,26.7,6.7
0467,Biology,All Students,146,38.4,31.5,23.3,6.8
0467,Biology,Historically Underperforming,44,15.9,25.0,40.9,18.2
0467,Literature,All Students,146,17.1,63.0,17.8,2.1
0467,Literature,Historically Underperforming,44,6.8,50.0,36.4,6.8
7648,Algebra I,All Students,2,,,,
7648,Algebra I,Historically Underperforming,1,,,,
7648,Biology,All Students,2,,,,
7648,Biology,Historically Underperforming,1,,,,
7648,Literature,All Students,2,,,,
7648,Literature,Historically Underperforming,1,,,,
6113,Algebra I,All Students,5,,,,
6113,Algebra I,Historically Underperforming,5,,,,
6113,Biology,All Students,4,,,,
6113,Biology,Historically Underperforming,4,,,,
6113,Literature,All Students,3,,,,
6113,Literature,Historically Underperforming,3,,,,
0196,Algebra I,All Students,105,13.3,32.4,41.9,12.4
0196,Algebra I,Historically Underperforming,68,14.7,17.6,48.5,19.1
0196,Biology,All Students,102,7.8,36.3,25.5,30.4
0196,Biology,Historically Underperforming,65,6.2,27.7,26.2,40.0
0196,Literature,All Students,103,6.8,45.6,33.0,14.6
0196,Literature,Historically Underperforming,66,3.0,37.9,39.4,19.7
0477,Algebra I,All Students,65,1.5,13.8,50.8,33.8
0477,Algebra I,Historically Underperforming,55,0.0,12.7,52.7,34.5
0477,Biology,All Students,62,0.0,4.8,22.6,72.6
0477,Biology,Historically Underperforming,52,0.0,3.8,19.2,76.9
0477,Literature,All Students,64,0.0,18.8,32.8,48.4
0477,Literature,Historically Underperforming,54,0.0,14.8,35.2,50.0
7846,Algebra I,All Students,30,0.0,0.0,6.7,93.3
7846,Algebra I,Historically Underperforming,26,0.0,0.0,7.7,92.3
7846,Biology,All Students,27,0.0,0.0,11.1,88.9
7846,Biology,Historically Underperforming,24,0.0,0.0,12.5,87.5
7846,Literature,All Students,27,0.0,0.0,18.5,81.5
7846,Literature,Historically Underperforming,23,0.0,0.0,21.7,78.3
0492,Algebra I,All Students,330,51.8,37.6,10.0,0.6
0492,Algebra I,Historically Underperforming,61,37.7,29.5,29.5,3.3
0492,Biology,All Students,329,59.0,32.8,7.3,0.9
0492,Biology,Historically Underperforming,60,35.0,35.0,25.0,5.0
0492,Literature,All Students,328,33.5,62.5,3.0,0.9
0492,Literature,Historically Underperforming,59,22.0,55.9,16.9,5.1
7562,Algebra I,All Students,30,6.7,10.0,50.0,33.3
7562,Algebra I,Historically Underperforming,25,4.0,4.0,56.0,36.0
7562,Biology,All Students,35,2.9,17.1,28.6,51.4
7562,Biology,Historically Underperforming,29,0.0,13.8,27.6,58.6
7562,Literature,All Students,35,2.9,28.6,31.4,37.1
7562,Literature,Historically Underperforming,29,0.0,24.1,31.0,44.8
0509,Algebra I,All Students,224,18.8,55.4,22.8,3.1
0509,Algebra I,Historically Underperforming,57,8.8,38.6,40.4,12.3
0509,Biology,All Students,227,23.3,59.5,11.9,5.3
0509,Biology,Historically Underperforming,61,14.8,44.3,26.2,14.8
0509,Literature,All Students,229,21.0,65.5,10.5,3.1
0509,Literature,Historically Underperforming,60,11.7,53.3,23.3,11.7
0523,Algebra I,All Students,215,35.8,43.7,15.3,5.1
0523,Algebra I,Historically Underperforming,46,15.2,34.8,28.3,21.7
0523,Biology,All Students,214,31.8,49.5,14.5,4.2
0523,Biology,Historically Underperforming,46,15.2,47.8,19.6,17.4
0523,Literature,All Students,212,28.8,61.8,7.1,2.4
0523,Literature,Historically Underperforming,44,15.9,52.3,20.5,11.4
0536,Algebra I,All Students,210,7.6,35.7,32.4,24.3
0536,Algebra I,Historically Underperforming,113,6.2,22.1,33.6,38.1
0536,Biology,All Students,204,15.2,33.8,27.9,23.0
0536,Biology,Historically Underperforming,107,11.2,20.6,32.7,35.5
0536,Literature,All Students,208,5.8,59.6,20.7,13.9
0536,Literature,Historically Underperforming,111,5.4,47.7,23.4,23.4
8392,Algebra I,All Students,25,16.0,40.0,32.0,12.0
8392,Algebra I,Historically Underperforming,9,,,,
8392,Biology,All Students,26,15.4,46.2,26.9,11.5
8392,Biology,Historically Underperforming,10,,,,
8392,Literature,All Students,25,16.0,56.0,24.0,4.0
8392,Literature,Historically Underperforming,9,,,,
0107,Algebra I,All Students,219,7.3,27.9,35.2,29.7
0107,Algebra I,Historically Underperforming,123,5.7,17.9,39.0,37.4
0107,Biology,All Students,196,12.8,31.1,26.0,30.1
0107,Biology,Historically Underperforming,105,8.6,20.0,29.5,41.9
0107,Literature,All Students,187,5.3,54.5,25.1,15.0
0107,Literature,Historically Underperforming,97,2.1,44.3,32.0,21.6
2320,Algebra I,All Students,68,2.9,61.8,26.5,8.8
2320,Algebra I,Historically Underperforming,29,0.0,44.8,37.9,17.2
2320,Biology,All Students,68,20.6,54.4,17.6,7.4
2320,Biology,Historically Underperforming,29,20.7,37.9,27.6,13.8
2320,Literature,All Students,68,10.3,72.1,11.8,5.9
2320,Literature,Historically Underperforming,29,3.4,65.5,17.2,13.8
8342,Algebra I,All Students,175,12.6,64.6,19.4,3.4
8342,Algebra I,Historically Underperforming,71,7.0,60.6,23.9,8.5
8342,Biology,All Students,173,51.4,34.7,11.0,2.9
8342,Biology,Historically Underperforming,70,41.4,35.7,17.1,5.7
8342,Literature,All Students,174,8.6,79.9,9.8,1.7
8342,Literature,Historically Underperforming,71,5.6,71.8,18.3,4.2
7640,Algebra I,All Students,61,16.4,68.9,13.1,1.6
