2013-14 Percent of Low Income by School,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,County Name,School District,Percent
214063252,Kings Academy,Berks,Schuylkill Valley SD,40.1
214067402,La Salle Academy,Berks,Governor Mifflin SD,12.7
214063402,Lebanon Valley Christian Sch,Berks,Conrad Weiser Area SD,0
214063702,Lighthouse Christian Academy,Berks,Fleetwood Area SD,0
300064150,Montessori Country Day School,Berks,Wyomissing Area SD,0
214064252,Mount Pleasant Amish School,Berks,Twin Valley SD,0
314060036,New Story,Berks,Governor Mifflin SD,100
314060034,New Story,Berks,Wilson  SD,81.6
214064602,North Marion Parochial School,Berks,Conrad Weiser Area SD,0
314060032,Northwestern Human Services,Berks,Reading SD,65.6
214064752,Oak Haven School,Berks,Fleetwood Area SD,0
314060009,Opportunities,Berks,Daniel Boone Area SD,47.1
224150013,Pin Oak School,Berks,Twin Valley SD,0
214065502,Pine Forge Academy,Berks,Boyertown Area SD,0
214065602,Pleasant Hills Mennonite Sch,Berks,Kutztown Area SD,0
214066202,Reading Sda Jr Academy,Berks,Reading SD,62.7
214060003,Rehrersburg Christian School,Berks,Tulpehocken Area SD,0
214067002,Sacred Heart School,Berks,Wyomissing Area SD,14
224157232,Shady Grove Amish School,Berks,Twin Valley SD,0
214067202,St Catharine of Siena School,Berks,Antietam SD,18.7
214064002,St Francis Academy,Berks,Boyertown Area SD,12
214067302,St Ignatius Loyola School,Berks,Wilson  SD,9.3
214067602,St Margaret School,Berks,Reading SD,71.8
214067902,St Peter School,Berks,Reading SD,71.5
214067952,Summer Mountain School,Berks,Tulpehocken Area SD,0
214068022,Sunny Meadow Mennonite School,Berks,Brandywine Heights Area SD,0
214060006,Suplee School,Berks,Twin Valley SD,0
214060000,Triple Springs Amish Parochial,Berks,Tulpehocken Area SD,0
214068502,Trostle Hill School,Berks,Governor Mifflin SD,0
224158912,Two Log Amish School,Berks,Twin Valley SD,0
214069002,Wayside Christian School,Berks,Boyertown Area SD,0
214069102,West Brandywine School,Berks,Twin Valley SD,0
214069152,White Oak Ridge School,Berks,Brandywine Heights Area SD,0
214069182,Willow Creek Mennonite School,Berks,Fleetwood Area SD,0
300066570,Winston Hall,Berks,Antietam SD,0
208077605,Altoona Central Catholic School - Hdq,Blair,Altoona Area SD,26.2
208074005,Altoona Central Catholic School Elementary,Blair,Altoona Area SD,28.8
208071005,Bishop Guilfoyle Catholic High School,Blair,Altoona Area SD,11
208071055,Blair County Christian School,Blair,Hollidaysburg Area SD,0
208070002,Champion Life Christian Academy,Blair,Altoona Area SD,0
208071255,Cove Lane Parochial School,Blair,Spring Cove SD,0
308070011,Crawford Elementary at Adelphoi Village,Blair,Altoona Area SD,62.5
208070003,Emmanuel Baptist Christian School,Blair,Claysburg-Kimmel SD,0
208071405,Faith Tabernacle School,Blair,Altoona Area SD,0
208071855,Great Commission Schools,Blair,Altoona Area SD,38.5
208072305,Heritage Christian School,Blair,Spring Cove SD,0
208072505,Hollidaysburg Catholic School,Blair,Hollidaysburg Area SD,18.1
208073755,Living Water Christian Academy,Blair,Williamsburg Community SD,0
308070009,Northwestern Human Services Autism School,Blair,Spring Cove SD,0
308070003,Northwestern Human Svcs Autism School,Blair,Altoona Area SD,0
300075750,Penn Mont Academy,Blair,Altoona Area SD,4.5
208075305,Piney Creek Parochial School,Blair,Spring Cove SD,0
208070000,Shady Grove School,Blair,Spring Cove SD,0
208077205,St John Evangelist School,Blair,Altoona Area SD,23
208077805,St Matthew School,Blair,Tyrone Area SD,23.3
208078005,St Patrick School,Blair,Hollidaysburg Area SD,25.9
208078205,St Rose of Lima School,Blair,Altoona Area SD,9.6
217080001,Canton Country School,Bradford,Canton Area SD,0
217082001,Epiphany School,Bradford,Sayre Area SD,10.1
217084401,North Rome Christian School,Bradford,Northeast Bradford SD,20.9
