,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution,specialized associate degree granting institution %
1375,,24,9,37.50%,9,37.50%,11,45.83%,2,8.33%,0,0.00%
1376,3875.0,34,16,47.06%,16,47.06%,16,47.06%,0,0.00%,0,0.00%
1377,,34,16,47.06%,16,47.06%,16,47.06%,0,0.00%,0,0.00%
1378,3877.0,28,14,50.00%,14,50.00%,18,64.29%,4,14.29%,0,0.00%
1379,,28,14,50.00%,14,50.00%,18,64.29%,4,14.29%,0,0.00%
1380,,157,77,49.04%,77,49.04%,90,57.32%,13,8.28%,0,0.00%
1381,3891.0,191,114,59.69%,113,59.16%,128,67.02%,14,7.33%,1,0.52%
1382,,191,114,59.69%,113,59.16%,128,67.02%,14,7.33%,1,0.52%
1383,8403.0,65,35,53.85%,32,49.23%,35,53.85%,0,0.00%,3,4.62%
1384,,65,35,53.85%,32,49.23%,35,53.85%,0,0.00%,3,4.62%
1385,6583.0,74,37,50.00%,36,48.65%,38,51.35%,1,1.35%,1,1.35%
1386,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1387,,75,37,49.33%,36,48.00%,38,50.67%,1,1.33%,1,1.33%
1388,8161.0,10,2,20.00%,2,20.00%,2,20.00%,0,0.00%,0,0.00%
1389,,10,2,20.00%,2,20.00%,2,20.00%,0,0.00%,0,0.00%
1390,3883.0,166,88,53.01%,88,53.01%,91,54.82%,3,1.81%,0,0.00%
1391,,166,88,53.01%,88,53.01%,91,54.82%,3,1.81%,0,0.00%
1392,3910.0,129,60,46.51%,59,45.74%,60,46.51%,0,0.00%,1,0.78%
1393,,129,60,46.51%,59,45.74%,60,46.51%,0,0.00%,1,0.78%
1394,3924.0,183,94,51.37%,94,51.37%,103,56.28%,9,4.92%,0,0.00%
1395,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1396,,187,94,50.27%,94,50.27%,103,55.08%,9,4.81%,0,0.00%
1397,3940.0,72,39,54.17%,39,54.17%,44,61.11%,5,6.94%,0,0.00%
1398,,72,39,54.17%,39,54.17%,44,61.11%,5,6.94%,0,0.00%
1399,5264.0,79,43,54.43%,39,49.37%,44,55.70%,1,1.27%,4,5.06%
1400,,79,43,54.43%,39,49.37%,44,55.70%,1,1.27%,4,5.06%
1401,5070.0,147,108,73.47%,101,68.71%,109,74.15%,1,0.68%,7,4.76%
1402,,147,108,73.47%,101,68.71%,109,74.15%,1,0.68%,7,4.76%
1403,3957.0,63,38,60.32%,38,60.32%,40,63.49%,2,3.17%,0,0.00%
1404,,63,38,60.32%,38,60.32%,40,63.49%,2,3.17%,0,0.00%
1405,3914.0,74,42,56.76%,41,55.41%,42,56.76%,0,0.00%,1,1.35%
1406,,74,42,56.76%,41,55.41%,42,56.76%,0,0.00%,1,1.35%
1407,,"1,258",700,55.64%,682,54.21%,736,58.51%,36,2.86%,18,1.43%
1408,3962.0,128,34,26.56%,34,26.56%,37,28.91%,3,2.34%,0,0.00%
1409,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1410,,131,34,25.95%,34,25.95%,37,28.24%,3,2.29%,0,0.00%
1411,3969.0,178,116,65.17%,112,62.92%,117,65.73%,1,0.56%,4,2.25%
1412,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1413,,180,116,64.44%,112,62.22%,117,65.00%,1,0.56%,4,2.22%
1414,,311,150,48.23%,146,46.95%,154,49.52%,4,1.29%,4,1.29%
1415,6207.0,42,30,71.43%,25,59.52%,30,71.43%,0,0.00%,5,11.90%
1416,,42,30,71.43%,25,59.52%,30,71.43%,0,0.00%,5,11.90%
1417,3978.0,65,43,66.15%,43,66.15%,46,70.77%,3,4.62%,0,0.00%
1418,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
