,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
850,6800.0,27,17,62.96%,17,62.96%,17,62.96%,0,0.00%,0
851,8274.0,180,103,57.22%,99,55.00%,104,57.78%,1,0.56%,4
852,6216.0,23,15,65.22%,11,47.83%,15,65.22%,0,0.00%,4
853,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
854,4026.0,62,45,72.58%,45,72.58%,49,79.03%,4,6.45%,0
855,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
856,4030.0,49,23,46.94%,23,46.94%,27,55.10%,4,8.16%,0
857,4034.0,77,48,62.34%,48,62.34%,48,62.34%,0,0.00%,0
858,6418.0,75,43,57.33%,43,57.33%,48,64.00%,5,6.67%,0
859,6419.0,57,33,57.89%,31,54.39%,36,63.16%,3,5.26%,2
860,4044.0,118,60,50.85%,59,50.00%,60,50.85%,0,0.00%,1
861,4049.0,77,46,59.74%,46,59.74%,50,64.94%,4,5.19%,0
862,4054.0,51,35,68.63%,31,60.78%,36,70.59%,1,1.96%,4
863,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
864,4058.0,60,34,56.67%,33,55.00%,34,56.67%,0,0.00%,1
865,6373.0,80,51,63.75%,51,63.75%,53,66.25%,2,2.50%,0
866,4064.0,42,27,64.29%,27,64.29%,29,69.05%,2,4.76%,0
867,4068.0,95,52,54.74%,52,54.74%,60,63.16%,8,8.42%,0
868,4080.0,94,51,54.26%,50,53.19%,51,54.26%,0,0.00%,1
869,4085.0,144,116,80.56%,116,80.56%,117,81.25%,1,0.69%,0
870,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
871,4091.0,164,88,53.66%,87,53.05%,93,56.71%,5,3.05%,1
872,4098.0,82,51,62.20%,49,59.76%,58,70.73%,7,8.54%,2
873,4106.0,147,82,55.78%,82,55.78%,92,62.59%,10,6.80%,0
874,9999.0,31,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
875,4931.0,153,92,60.13%,81,52.94%,100,65.36%,8,5.23%,11
876,9999.0,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
877,1668.0,135,65,48.15%,61,45.19%,77,57.04%,12,8.89%,4
878,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
879,4126.0,66,35,53.03%,30,45.45%,42,63.64%,7,10.61%,5
