AUN,AverageDailyMembership(ADM),BasedonInstruction,BasedonTotal,FacilitiesAcquisition&Construction,Federal Revenue,GeneralFundBalance,Instruction,Local Revenue,MV/PIAidRatio,Non-instructional,Other Revenue,OtherFinancingUses,State Revenue,SupportServices,TotalExpenditures,TotalRevenues
103029203,4129.653,10870.26,34305.2,0.0,1857336.27,8368588.0,44890422.16,65521751.93,0.3851,1751356.41,59195675.6,66018512.36,17569183.18,29008288.15,141668579.1,144143947.0
103029403,3399.56,9397.22,18644.34,654869.23,332234.35,18254694.0,31946397.84,47439324.64,0.4401,1707969.58,0.0,8673187.05,16249860.92,20400111.94,63382535.64,64021419.91
103029553,3133.419,8880.01,19052.98,4607115.8,531101.01,27273603.0,27824793.96,37600749.87,0.492,1494256.17,0.0,8859029.0,14693365.25,16915787.15,59700982.08,52825216.13
103029603,2576.155,12022.87,26053.13,118017.06,1594490.07,2099989.0,30972776.18,33982897.64,0.635,1510589.99,10674482.29,18115291.11,19265480.67,16400236.86,67116911.2,65517350.67
103029803,1100.458,17882.18,27118.4,0.0,1966086.34,1819624.0,19678585.51,13474099.99,0.5708,61554.15,149101.38,1183600.35,16096338.27,8918916.93,29842656.94,31685625.98
103029902,4543.818,14475.81,21608.26,0.0,3027593.31,4179013.0,65775450.41,56648273.71,0.57,1442113.83,310413.12,6488240.84,34434411.12,24478195.88,98184000.96,94420691.26
103519376,716.983,8867.29,13814.95,0.0,1334282.0,1213460.0,6357696.0,9723543.0,0.7239,492834.0,0.0,0.0,66724.0,3054554.0,9905084.0,11124549.0
104101252,6621.478,9414.34,15473.81,17600.0,2781013.0,11432680.0,62336866.06,52783116.0,0.5489,2362287.06,85339.88,7891273.21,47342567.0,29851439.66,102459466.0,102992035.9
104101307,444.483,6494.64,11123.41,20372.0,239706.0,14182.0,2886758.0,3456295.0,0.4487,19358.0,0.0,22882.0,1262349.0,1994798.0,4944168.0,4958350.0
104103603,1386.146,10074.49,16420.9,102434.0,73138.82,7467085.0,13964713.0,7868576.75,0.6925,552424.0,0.0,39358.0,15820623.5,8102829.0,22761758.0,23762339.07
104105003,3366.916,8193.71,14459.17,0.0,0.0,4099606.0,27587542.66,35311675.84,0.259,1400392.08,0.0,6369539.18,13634478.78,13325347.54,48682821.46,48946154.62
104105353,1275.464,9514.37,17371.37,3845.0,37789.33,5431074.0,12135231.65,7591601.31,0.6615,1030787.71,99329.82,1190737.1,13826830.75,7795960.18,22156561.64,21555551.21
104107503,2044.646,10141.72,15678.59,0.0,0.0,7165530.0,20736226.0,16921105.0,0.5274,898783.0,0.0,2047045.0,15410036.0,8375114.0,32057168.0,32331141.0
104107803,2282.626,8712.93,15487.54,0.0,5350.52,8367837.0,19888364.12,20333929.61,0.4651,962549.46,0.0,2664364.93,15230350.4,11836974.25,35352252.76,35569630.53
104107903,7414.714,10815.03,17872.01,39831.53,994692.87,32597245.0,80190322.42,96230792.2,0.3216,2200553.37,0.0,15000551.24,35249125.64,35084577.21,132515835.8,132474610.7
104372003,1780.972,10309.25,16122.15,8785.14,652729.4,4586229.0,18360492.4,9723473.86,0.6805,534457.53,5340.52,1297906.7,17917804.98,8511451.16,28713092.93,28299348.76
104374003,1081.605,9523.82,16629.53,145043.74,308025.35,8990659.0,10301013.69,6335460.65,0.6266,581574.57,1695.0,784542.5,11876667.05,6174405.59,17986580.09,18521848.05
104374207,364.325,11416.74,18384.33,0.0,226834.12,0.0,4159404.27,5161927.98,0.672,31431.66,5088.0,831.37,1304021.18,2506204.66,6697871.96,6697871.28
104375003,1505.83,10047.92,16071.82,158099.03,465202.76,9833266.0,15130461.39,7728953.96,0.6575,572272.09,1000.0,1723955.71,16223409.73,6616633.65,24201421.87,24418566.45
104375203,1261.248,8885.74,15616.44,0.0,116985.76,5545067.0,11207127.91,13348444.29,0.4536,546374.51,2456.0,1882031.6,6387259.56,6060666.17,19696200.19,19855145.61
104375302,3329.07,11006.04,16820.71,113673.17,5257574.76,1858683.0,36639863.39,11607913.66,0.824,1210442.76,367900.85,4692725.03,37401344.88,13340608.03,55997312.38,54634734.15
104376203,1169.42,10186.95,15769.43,9824.05,437619.72,1793220.0,11912821.0,6445170.46,0.6503,622350.1,595.0,662599.22,11547504.33,5233488.4,18441082.77,18430889.51
104377003,776.763,9334.67,14480.98,149065.0,850.0,4883410.0,7250825.0,4524195.0,0.6943,388596.0,0.0,6691.0,7242839.0,3453109.0,11248286.0,11767884.0
104378003,1147.94,10063.4,18645.3,470355.74,729329.72,5911218.0,11552184.69,9496107.38,0.5377,562765.85,2932549.0,2468769.11,10207528.83,6349606.83,21403682.22,23365514.93
104431304,460.06,11823.38,18599.28,0.0,296786.0,6957974.0,5439464.39,2549637.44,0.6421,216001.09,0.0,55097.53,6160795.43,2846222.81,8556785.82,9007218.87
104432503,700.787,14813.13,25737.16,0.0,1200311.0,4583743.0,10380847.0,4563577.0,0.8414,1146802.0,0.0,1467118.0,12620700.0,5041499.0,18036266.0,18384588.0
104432803,1290.412,9724.16,16373.47,0.0,790246.72,3691997.0,12548167.74,7847270.93,0.7209,1097984.15,1750.0,2121074.5,12375311.6,5361300.33,21128526.72,21014579.25
104432830,145.675,15478.56,24830.76,0.0,400949.0,2080823.0,2254839.82,3808288.02,0.7037,2011.87,400.0,123427.82,51996.29,1236941.47,3617220.98,4261633.31
104432903,1948.148,13757.29,20968.72,1287.5,1731174.19,10144129.0,26801230.48,22504128.2,0.5826,997491.58,0.0,1589992.56,16483244.29,11460175.32,40850177.44,40718546.68
104433303,2113.168,9011.4,15167.79,34913.27,694574.79,6283260.0,19042608.65,19370582.97,0.5126,985176.08,1132.0,3358871.12,12065086.79,8630515.04,32052084.16,32131376.55
104433604,448.076,11516.87,20698.25,0.0,388163.06,3635157.0,5160433.47,3675571.33,0.631,210173.68,4000.0,635985.0,5444736.04,3267796.3,9274388.45,9512470.43
104433903,984.273,11268.22,17644.32,0.0,660833.14,9644989.0,11091000.28,5458620.32,0.6356,450256.03,8713.77,589306.0,11060120.11,5236266.1,17366828.41,17188287.34
