,aun,records,compensation,netprofits,miscellaneousincome,dividends&interest,outofstatetaxrecords,outofstatetaxcredit,outofstateincome(calculated),totalpersonalincome,adjustedpersonalincome
161,106166503.0,3576.0,125174917.0,17159833.0,5756467.0,5861018.0,17.0,13293.0,432997.0,153952235.0,153519238.0
162,106167504.0,2172.0,83237595.0,8318295.0,6505418.0,7395636.0,14.0,9108.0,296678.0,105456944.0,105160266.0
163,106168003.0,3667.0,139267956.0,10165561.0,7446131.0,5142559.0,12.0,73198.0,2384300.0,162022207.0,159637907.0
164,106169003.0,1808.0,60614986.0,3921932.0,2149816.0,2318061.0,11.0,4486.0,146124.0,69004795.0,68858671.0
165,110171003.0,8841.0,314907894.0,24464806.0,10103842.0,15385909.0,37.0,29097.0,947785.0,364862451.0,363914666.0
166,110171803.0,3319.0,122478684.0,12565098.0,8451208.0,4276163.0,28.0,28909.0,941661.0,147771153.0,146829492.0
167,106172003.0,14321.0,570290492.0,65940979.0,36130038.0,26823595.0,92.0,85243.0,2776645.0,699185104.0,696408459.0
168,110173003.0,2382.0,88329889.0,3124285.0,1182013.0,2797744.0,12.0,10582.0,344691.0,95433931.0,95089240.0
169,110173504.0,915.0,32036158.0,5242420.0,826797.0,1251136.0,6.0,4717.0,153648.0,39356511.0,39202863.0
170,110175003.0,2959.0,116771927.0,5946433.0,1953365.0,3279713.0,19.0,10288.0,335114.0,127951438.0,127616324.0
171,110177003.0,6255.0,255950989.0,14865374.0,7930069.0,6037001.0,41.0,28167.0,917492.0,284783433.0,283865941.0
172,110179003.0,3381.0,137013920.0,6891352.0,2736799.0,2899909.0,15.0,11448.0,372899.0,149541980.0,149169081.0
173,110183602.0,15969.0,629370691.0,71393753.0,27048044.0,20362034.0,102.0,131564.0,4285472.0,748174522.0,743889050.0
174,116191004.0,2659.0,102082751.0,7170553.0,11383420.0,4078750.0,20.0,16526.0,538306.0,124715474.0,124177168.0
175,116191103.0,10491.0,405637925.0,29024693.0,18139135.0,13534093.0,93.0,89580.0,2917915.0,466335846.0,463417931.0
176,116191203.0,6762.0,290427298.0,21822782.0,12730049.0,12506203.0,86.0,81087.0,2641270.0,337486332.0,334845062.0
177,116191503.0,7191.0,346188237.0,43105100.0,25852308.0,15741539.0,87.0,162589.0,5296059.0,430887184.0,425591125.0
178,116195004.0,2514.0,101658060.0,9552392.0,5467851.0,4102072.0,17.0,47052.0,1532638.0,120780375.0,119247737.0
179,116197503.0,5221.0,241616816.0,23948129.0,11415882.0,12342879.0,43.0,40306.0,1312899.0,289323706.0,288010807.0
180,105201033.0,7654.0,261377445.0,32025420.0,18051202.0,12350636.0,69.0,76190.0,2481759.0,323804703.0,321322944.0
181,105201352.0,13538.0,501325355.0,71344820.0,34851937.0,30504529.0,127.0,125209.0,4078469.0,638026641.0,633948172.0
182,105204703.0,9938.0,387919602.0,45424273.0,33545598.0,14511393.0,87.0,72168.0,2350749.0,481400865.0,479050116.0
183,115210503.0,10086.0,423111147.0,52466862.0,44957495.0,19817891.0,60.0,71668.0,2334463.0,540353395.0,538018932.0
184,115211003.0,6167.0,355854150.0,51111853.0,32682497.0,21209996.0,104.0,259319.0,8446873.0,460858496.0,452411623.0
185,115211103.0,19095.0,815426264.0,79170210.0,54130228.0,47259421.0,197.0,616944.0,20095896.0,995986123.0,975890227.0
186,115211603.0,30382.0,2099890765.0,304088831.0,182442139.0,127809415.0,497.0,1095098.0,35670945.0,2714231150.0,2678560205.0
187,115212503.0,10362.0,530168301.0,33172735.0,15658567.0,16671005.0,67.0,91856.0,2992052.0,595670608.0,592678556.0
188,115216503.0,15979.0,897889762.0,116580042.0,67034324.0,51494587.0,160.0,838995.0,27328827.0,1132998715.0,1105669888.0
189,115218003.0,12918.0,527884875.0,66493877.0,22504064.0,17439277.0,91.0,98390.0,3204886.0,634322093.0,631117207.0
190,115218303.0,7909.0,402805630.0,39530782.0,24746476.0,23625162.0,74.0,64759.0,2109414.0,490708050.0,488598636.0
191,115221402.0,48510.0,2519407055.0,228700377.0,116470948.0,105483110.0,390.0,866766.0,28233420.0,2970061490.0,2941828070.0
192,115221753.0,12621.0,983308311.0,91340432.0,82055190.0,60278645.0,252.0,495208.0,16130554.0,1216982578.0,1200852024.0
193,115222504.0,3776.0,178158644.0,12431772.0,6978615.0,6413137.0,24.0,48909.0,1593127.0,203982168.0,202389041.0
194,115222752.0,25650.0,801981158.0,47282540.0,20661827.0,12424269.0,174.0,231329.0,7535147.0,882349794.0,874814647.0
195,115224003.0,12710.0,767672145.0,85475082.0,46985187.0,32891382.0,135.0,213583.0,6957101.0,933023796.0,926066695.0
196,115226003.0,9341.0,399115073.0,16466271.0,9979824.0,9971976.0,49.0,36267.0,1181336.0,435533144.0,434351808.0
197,115226103.0,3209.0,127949313.0,15087091.0,14384993.0,8708616.0,25.0,27438.0,893746.0,166130013.0,165236267.0
198,115228003.0,3916.0,119641875.0,3700061.0,691574.0,1518414.0,13.0,11545.0,376059.0,125551924.0,125175865.0
199,115228303.0,12766.0,621331922.0,63619059.0,23736360.0,32682679.0,89.0,157477.0,5129544.0,741370020.0,736240476.0
200,115229003.0,4411.0,164026616.0,24778758.0,10030579.0,5960489.0,45.0,31053.0,1011498.0,204796442.0,203784944.0
201,125231232.0,15058.0,446481057.0,20639235.0,5966714.0,4530776.0,549.0,612307.0,19944853.0,477617782.0,457672929.0
202,125231303.0,11200.0,537568223.0,32478509.0,7244216.0,9768673.0,1090.0,1545910.0,50355375.0,587059621.0,536704246.0
203,125234103.0,14243.0,1303009854.0,175447859.0,114797322.0,92480241.0,2324.0,9170014.0,298697524.0,1685735276.0,1387037752.0
204,125234502.0,22762.0,2047573091.0,263886413.0,203232150.0,152376207.0,989.0,3285396.0,107016156.0,2667067861.0,2560051705.0
205,125235103.0,10962.0,512246879.0,21109682.0,11712851.0,8109907.0,390.0,542118.0,17658567.0,553179319.0,535520752.0
206,125235502.0,19632.0,1757272418.0,453055527.0,238055481.0,176432039.0,961.0,5128832.0,167062932.0,2624815465.0,2457752533.0
207,125236903.0,13833.0,784604681.0,49075014.0,15814840.0,21258553.0,996.0,1820980.0,59315309.0,870753088.0,811437779.0
208,125237603.0,11416.0,1890176191.0,516189466.0,550062426.0,246057922.0,988.0,7048497.0,229592736.0,3202486005.0,2972893269.0
