,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
882,6216.0,24,8,33.33%,7,29.17%,9,37.50%,1,4.17%,1
883,4026.0,88,52,59.09%,48,54.55%,57,64.77%,5,5.68%,4
885,4030.0,35,21,60.00%,21,60.00%,21,60.00%,0,0.00%,0
886,4034.0,67,44,65.67%,40,59.70%,44,65.67%,0,0.00%,4
887,6418.0,75,37,49.33%,36,48.00%,38,50.67%,1,1.33%,1
888,6419.0,44,22,50.00%,22,50.00%,24,54.55%,2,4.55%,0
890,4044.0,83,50,60.24%,47,56.63%,52,62.65%,2,2.41%,3
891,4049.0,77,49,63.64%,49,63.64%,51,66.23%,2,2.60%,0
892,4054.0,57,31,54.39%,30,52.63%,33,57.89%,2,3.51%,1
894,4058.0,62,27,43.55%,27,43.55%,32,51.61%,5,8.06%,0
895,6373.0,70,36,51.43%,35,50.00%,39,55.71%,3,4.29%,1
896,4064.0,47,19,40.43%,16,34.04%,20,42.55%,1,2.13%,3
897,4068.0,102,49,48.04%,49,48.04%,54,52.94%,5,4.90%,0
898,4080.0,111,65,58.56%,63,56.76%,66,59.46%,1,0.90%,2
899,4085.0,125,101,80.80%,100,80.00%,101,80.80%,0,0.00%,1
901,4091.0,172,83,48.26%,79,45.93%,83,48.26%,0,0.00%,4
902,4098.0,87,46,52.87%,42,48.28%,49,56.32%,3,3.45%,4
903,4106.0,140,56,40.00%,55,39.29%,67,47.86%,11,7.86%,1
905,4931.0,140,61,43.57%,60,42.86%,66,47.14%,5,3.57%,1
907,1668.0,126,57,45.24%,53,42.06%,70,55.56%,13,10.32%,4
908,4126.0,62,34,54.84%,23,37.10%,35,56.45%,1,1.61%,11
909,7833.0,25,13,52.00%,13,52.00%,14,56.00%,1,4.00%,0
910,4135.0,48,20,41.67%,15,31.25%,21,43.75%,1,2.08%,5
911,4143.0,69,29,42.03%,27,39.13%,30,43.48%,1,1.45%,2
912,4146.0,48,26,54.17%,26,54.17%,29,60.42%,3,6.25%,0
