Schl,Federal - Non-Personnel,Federal - Personnel,Local - Non-Personnel,Local - Personnel,State - Non-Personnel,State - Personnel
1753,0,881.86,3265.05,15972.52,0,1372.45
1766,78.33,1412.83,1110.4,4409.64,1533.41,6089.51
1774,46.04,360.23,1506.34,7701.23,827.14,4284.75
1775,46.8,936.63,1506.34,7701.23,827.14,4284.75
1776,62.2,219.43,1506.33,7701.22,827.14,4284.74
1777,77.81,54.13,1280.29,7665.58,416.84,2495.78
1778,88.68,115.7,1380.44,7239.36,449.45,2357.01
1779,88.99,591.38,1415.96,8072.75,461.01,2628.35
1780,89.99,792.38,1339.94,6563.26,436.26,2136.88
1781,89.54,156.33,1378.6,7451,448.85,2425.91
1782,89,29.78,1405.21,8106.8,457.51,2639.43
1785,45.7,230.4,2445.96,11911.52,47.74,0
1788,52.44,1151.26,2113.44,9487.97,38.86,419.39
1790,128.43,225.68,3503.96,14064.46,20.67,0
1791,89.28,29.87,1734.48,9077.8,564.72,2955.57
1793,152.17,449.95,2211.09,12824.38,1.99,0
1794,0,0,2246.2,13028.03,2.02,0
1795,90.74,1537.74,1526.39,9136.22,496.97,2974.59
1797,46.6,48.51,1506.34,7701.23,827.14,4284.75
1799,0,1254.46,0,3631.18,0,0
1801,0,350.41,0,5582.15,0,0
1802,70.07,61.22,4079.57,16782.34,48.2,108.73
1805,25.64,133.75,2326.27,11439.28,11.65,98.92
1806,67.39,245.09,2346.49,7749.12,11.21,216.14
1811,89.57,496.86,1480.98,7570.85,482.18,2464.94
1812,89.09,420.19,1500.49,10709,488.53,3486.66
1817,126.21,42.22,2042.91,10832.05,665.13,3526.73
1829,685.2,1113.26,789.26,9817.24,51.78,1952.31
1843,0,0,1507.7,10048.47,1695.78,6438.31
1847,256.33,1058.36,1484.57,10173.44,1504.21,6510.43
1849,30.32,62.11,1645.41,9626.16,1495.53,6093
1856,185.36,564.96,1919.87,5851.7,1758.67,5360.37
1861,21.45,501.01,187.82,4386.41,159.17,3717.34
1869,21.91,19.57,2391.87,13082.61,552.27,2997.78
1871,37.27,228.17,890.61,10893.46,191.97,2348.04
1874,37.77,262.36,919.13,11276.13,198.12,2430.52
1875,37.23,245.77,896.73,10703.98,193.2,2307.2
1876,38.71,235.02,964.7,10383.11,207.94,2238.04
1877,38.28,257.66,963.16,12532.19,207.61,2701.26
1878,40.43,247.64,1073.11,11972.72,231.3,2580.67
1879,44.11,250.04,1287.4,12121.83,277.49,2612.81
1881,14.6,155.91,960.34,10253.88,500.01,5338.76
1883,14.6,155.87,960.09,10251.15,499.88,5337.34
1885,14.6,155.89,960.21,10252.47,499.94,5338.02
1887,185.36,564.96,1919.87,5851.69,1758.68,5360.37
1890,185.36,564.96,1919.88,5851.69,1758.68,5360.37
1893,283.37,1173.25,1521.47,9051.42,1522.88,5916.07
1894,171.32,411.75,2030.91,14317.17,415.14,2926.77
1896,28.49,136.91,1967.6,13245.83,402.23,2707.77
1898,27.97,187.42,1914.72,13491.61,391.42,2758.01
1899,211.27,397.8,1968.98,13204.06,402.51,2699.23
1901,35.09,149.58,2021.43,14711.81,413.23,3007.45
1902,32.91,142.07,2415.26,14068.52,493.74,2875.94
1905,23.83,515.28,2145.94,11353.73,542.55,2870.53
